,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cost,cuisine 1,cuisine 2,cuisine 3,cuisine 4,cuisine 5,cuisine 6,cuisine 7,cuisine 8,t1,t2,l1,l2,l3,l4,l5,l6,l7,location
4807,"ae Da Hotel
                                    ",['Quic Bites'],Baner,3.9,26.0,3.8,0.0,800,Chinese,North Indian,,,,,,,Quic Bites,,,,,,,,,Baner
4808,"Snac Attac
                                    ",,Shivaji Nagar,3.6634499896458945,,3.8,0.0,300,Fast Food,,,,,,,,,,,,,,,,,Shivaji Nagar
4809,"IndoChinese War
                                    ",,Hadapsar,3.6634499896458945,,3.8,0.0,300,Chinese,,,,,,,,,,,,,,,,,Hadapsar
4810,"Hotel Yedeshwari
                                    ",['Quic Bites'],Dhanawadi,3.6,5.0,3.8,0.0,600,Maharashtrian,,,,,,,,Quic Bites,,,,,,,,,Dhanawadi
4811,"Badshahi Boarding House
                                    ",['Quic Bites'],Tila Road,4.2,265.0,3.8,0.0,200,Fast Food,South Indian,Maharashtrian,,,,,,Quic Bites,,Potato Toast, Puneri Misal, Maharastrian Thali, Buttermil, Vada, Patal Bhaji,,Tila Road
4812,"Raj Garden Family Restaurant and Bar
                                    ","['Casual Dining', 'Bar']",Sinhgad Road,3.2,60.0,3.9,163.0,600,Malwani,Maharashtrian,Chinese,North Indian,,,,,Casual Dining,Bar,Biryani, Thali,,,,,,Sinhgad Road
4813,"Piconzza
                                    ",['Food Court'],"Westend Mall, Aundh",2.8,142.0,3.2,55.0,400,Italian,,,,,,,,Food Court,,Cone Pizza, Paneer Chatpata, Jalapeno Cheese Nuggets, Pasta, French Fries, Cheese Balls, Cheesy Garlic Bread, Aundh
4814,"Wah Marathi Dine N Wine
                                    ",['Casual Dining'],"Seasons Mall, Magarpatta ",4.1,877.0,3.8,891.0,1100,Maharashtrian,,,,,,,,Casual Dining,,othimbir Vadi, Biryani, Chicen Suha, Pandhra Rassa, Puran Poli, Moctails, Sol adhi, Magarpatta 
4815,"Joshi Sweets
                                    ",['Sweet Shop'],Erandwane,4.4,246.0,3.8,0.0,300,Mithai,,,,,,,,Sweet Shop,,,,,,,,,Erandwane
4816,"Joshi Sweets
                                    ",['Sweet Shop'],Sinhgad Road,4.2,86.0,3.8,0.0,350,Street Food,Mithai,,,,,,,Sweet Shop,,,,,,,,,Sinhgad Road
4817,"Joshi Sweets
                                    ",['Sweet Shop'],Deccan Gymhana,3.9,89.0,3.8,0.0,350,Street Food,Mithai,,,,,,,Sweet Shop,,,,,,,,,Deccan Gymhana
4818,"Joshi Sweets
                                    ",['Sweet Shop'],othrud,3.7,9.0,3.8,0.0,350,Street Food,Mithai,,,,,,,Sweet Shop,,,,,,,,,othrud
4819,"Joshi Sweets
                                    ",['Sweet Shop'],othrud,4.5,115.0,3.8,0.0,350,Street Food,Mithai,,,,,,,Sweet Shop,,,,,,,,,othrud
4820,"Joshi Sweets
                                    ",['Sweet Shop'],Sinhgad Road,3.6634499896458945,,3.8,0.0,350,Street Food,Mithai,,,,,,,Sweet Shop,,,,,,,,,Sinhgad Road
4821,"SnacEat
                                    ",,Baner,3.7,214.0,3.8,0.0,200,Beverages,Street Food,Maharashtrian,,,,,,,,,,,,,,,Baner
4822,"foods@99.in
                                    ",,NIBM Road,4.0,861.0,3.8,0.0,500,Rolls,Street Food,Bengali,North Indian,,,,,,,,,,,,,,NIBM Road
4823,"Blossom  The Fusion Spot
                                    ",['Casual Dining'],Lonavala,4.1,89.0,3.8,0.0,1000,Beverages,Fast Food,Continental,Italian,Chinese,North Indian,,,Casual Dining,,Hariyali Pav Bhaji,,,,,,,Lonavala
4824,"Miya Murg
                                    ",['Quic Bites'],Model Colony,3.5,4463.0,3.8,0.0,600,Mughlai,North Indian,,,,,,,Quic Bites,,Tandoori Chicen, Chicen Biryani, Butter Chicen, Plain Rice, Dum Biryani, Chicen Tia,,Model Colony
4825,"Zamu's Place
                                    ","['Casual Dining', 'Bar']",Dhole Patil Road,4.3,945.0,3.8,0.0,1400,Salad,Parsi,Continental,,,,,,Casual Dining,Bar,Sandwich, Por Chops, Por Sizzler, Beef Stea Sizzler, Chocolate Mousse, Mashed Potato, Prawn,Dhole Patil Road
4826,"Hotel olhapuri atta
                                    ",['Quic Bites'],Hadapsar,4.0,194.0,3.6,1865.0,500,Malwani,North Indian,Maharashtrian,,,,,,Quic Bites,,Egg Masala, olhapuri atta, Mutton Fry, Chicen Thali,,,,Hadapsar
4827,"Cafe Buddy's Espresso
                                    ",['Café'],Aundh,3.6,5.0,3.8,0.0,700,Beverages,Pizza,Sandwich,Fast Food,Cafe,,,,Café,,,,,,,,,Aundh
4828,"Paratha ing
                                    ",['Quic Bites'],Waad,4.1,496.0,3.0,1392.0,300,Fast Food,North Indian,,,,,,,Quic Bites,,Pizza Parantha, Buttermil, Malai Lassi, Veg Thali, Matar Paratha, esaria Lassi, Cheese Paneer Paratha,Waad
4829,"anaa Durga
                                    ",['Quic Bites'],Waad,3.4,236.0,3.7,2720.0,500,Bengali,,,,,,,,Quic Bites,,Luchi, Chicen Biryani, Dhoar Dalna, Fish Thali, Rasgulla, Chicen Thali, Roti,Waad
4830,"Avo's Food & Restaurant
                                    ",['Quic Bites'],Viman Nagar,3.8,4.0,3.8,0.0,350,South Indian,Chinese,North Indian,,,,,,Quic Bites,,,,,,,,,Viman Nagar
4831,"Chilled Affair
                                    ",['Dessert Parlor'],Aundh,3.4,8.0,3.8,0.0,350,Beverages,Desserts,Ice Cream,,,,,,Dessert Parlor,,,,,,,,,Aundh
4832,"uch Light uch Delight
                                    ",['Quic Bites'],Nigdi,3.1,7.0,3.0,68.0,200,Beverages,Street Food,,,,,,,Quic Bites,,,,,,,,,Nigdi
4833,"Pizza Corner
                                    ",['Quic Bites'],Camp Area,3.4,4.0,3.8,27.0,300,Fast Food,,,,,,,,Quic Bites,,,,,,,,,Camp Area
4834,"Sangeeta Restaurant & Bar
                                    ",['Casual Dining'],Aurdi,3.7,102.0,4.3,506.0,500,North Indian,Chinese,,,,,,,Casual Dining,,Biryani, Naan,,,,,,Aurdi
4835,"Ice Bergs
                                    ","['Beverage Shop', 'Dessert Parlor']",Model Colony,3.6,40.0,3.8,0.0,150,Ice Cream,Beverages,,,,,,,Beverage Shop,Dessert Parlor,Slush, Sandwich,,,,,,Model Colony
4836,"SnacEat
                                    ",,Baner,3.7,214.0,3.8,0.0,200,Beverages,Street Food,Maharashtrian,,,,,,,,,,,,,,,Baner
4837,"SnacEat
                                    ",,Waad,3.2,121.0,3.8,0.0,200,Beverages,Street Food,Maharashtrian,,,,,,,,,,,,,,,Waad
4838,"SnacEat
                                    ",,Pimple Saudagar,4.3,121.0,3.8,0.0,200,Beverages,Street Food,Maharashtrian,,,,,,,,,,,,,,,Pimple Saudagar
4839,"SnacEat
                                    ",,Hinjawadi,3.6634499896458945,,3.8,0.0,200,Beverages,Street Food,Maharashtrian,,,,,,,,,,,,,,,Hinjawadi
4840,"Ganraj Bhel & Panipuri
                                    ",,atraj,3.9,4024.0,3.8,0.0,100,Street Food,,,,,,,,,,,,,,,,,atraj
4841,"CAD (M) CAD(B)
                                    ",['Quic Bites'],Shivaji Nagar,3.5,29.0,3.8,0.0,300,Beverages,Fast Food,,,,,,,Quic Bites,,,,,,,,,Shivaji Nagar
4842,"Andhra Tiffins And Biryani
                                    ",['Quic Bites'],Chinchwad,3.7,64.0,3.5,2136.0,400,Andhra,South Indian,Biryani,,,,,,Quic Bites,,,,,,,,,Chinchwad
4843,"WOW! China
                                    ",['Quic Bites'],Chinchwad,3.7,7.0,3.7,78.0,700,Chinese,,,,,,,,Quic Bites,,,,,,,,,Chinchwad
4844,"Cae N Counter
                                    ",['Baery'],East Street,4.3,148.0,3.8,0.0,300,Baery,,,,,,,,Baery,,Chocolate Walnut Cae, Pineapple Cae,,,,,,East Street
4845,"Tasty Tongues Chaats
                                    ",['Quic Bites'],Bavdhan,3.5,480.0,3.5,4502.0,500,Fast Food,Chinese,Street Food,North Indian,,,,,Quic Bites,,Chaat, Paratha, Panipuri, Jalebi Rabri, Aloo Tii, Samosa, Papri,Bavdhan
4846,"Amul Restaurant
                                    ",['Quic Bites'],Waad,3.5,151.0,4.1,1039.0,500,Street Food,Chinese,North Indian,,,,,,Quic Bites,,adhai Paneer, Dal Tada, Paratha, Lassi, Dal Fry,,,Waad
4847,"Milan hanawal
                                    ",['Quic Bites'],Dhanawadi,3.3,12.0,3.8,552.0,400,North Indian,Maharashtrian,,,,,,,Quic Bites,,,,,,,,,Dhanawadi
4848,"Hayat
                                    ",['Quic Bites'],Bhosari,3.6,28.0,3.8,0.0,300,ebab,Chinese,,,,,,,Quic Bites,,,,,,,,,Bhosari
4849,"Banny's itchen
                                    ",['Quic Bites'],Wagholi,3.7,49.0,3.6,780.0,600,Chinese,North Indian,,,,,,,Quic Bites,,Biryani,,,,,,,Wagholi
4850,"Thaar Dining Hall
                                    ",['Casual Dining'],Chinchwad,3.9,70.0,4.3,420.0,400,North Indian,,,,,,,,Casual Dining,,Fruit Salad, adhi,,,,,,Chinchwad
4851,"Gelato Italiano
                                    ",['Food Court'],Pimpri,3.0,6.0,3.9,49.0,150,Desserts,,,,,,,,Food Court,,,,,,,,,Pimpri
4852,"A Piece Of Cae
                                    ","['Dessert Parlor', 'Baery']",Wanowrie,3.4,107.0,4.2,959.0,350,Baery,Desserts,,,,,,,Dessert Parlor,Baery,Pineapple Pastry, Ferrero Rocher Cae,,,,,,Wanowrie
4853,"Poona Guest House
                                    ",['Quic Bites'],"The Pavillion, Senapati Bapat Road",3.6,53.0,3.8,0.0,300,Maharashtrian,,,,,,,,Quic Bites,,,,,,,,, Senapati Bapat Road
4854,"Copper Chocs
                                    ",['Dessert Parlor'],alyani Nagar,3.8,102.0,4.2,118.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,Red Velvet, Veg Puff, Chocolate Truffle Cae, Cupcae, Eclair, Sandwich,,alyani Nagar
4855,"Copper Chocs
                                    ",['Dessert Parlor'],alyani Nagar,3.8,102.0,4.2,118.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,Red Velvet, Veg Puff, Chocolate Truffle Cae, Cupcae, Eclair, Sandwich,,alyani Nagar
4856,"Copper Chocs
                                    ",['Dessert Parlor'],Viman Nagar,3.8,78.0,4.4,214.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,Chocolate Cae,,,,,,,Viman Nagar
4857,"Copper Chocs
                                    ",['Dessert Parlor'],Wanowrie,3.9,58.0,3.8,0.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,Chocolate Truffle Cae,,,,,,,Wanowrie
4858,"Copper Chocs
                                    ","['Dessert Parlor', 'Baery']",Aundh,3.9,95.0,3.9,61.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,Baery,Chocolate Cae, Cheese Puffs,,,,,,Aundh
4859,"Copper Chocs
                                    ",['Dessert Parlor'],Bund Garden Road,3.5,20.0,3.8,0.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,,,,,,,,Bund Garden Road
4860,"Copper Chocs
                                    ",['Dessert Parlor'],B.T. awade Road,3.5,27.0,3.8,0.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,,,,,,,,B.T. awade Road
4861,"Copper Chocs
                                    ",['Dessert Parlor'],Model Colony,3.6,37.0,3.8,0.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,,,,,,,,Model Colony
4862,"Copper Chocs
                                    ",['Dessert Parlor'],arve Nagar,3.6,47.0,4.3,78.0,350,Fast Food,Desserts,Baery,,,,,,Dessert Parlor,,,,,,,,,arve Nagar
